"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2003,6,"AA","American Airlines Inc.","ABQ","Albuquerque, NM: Albuquerque International Sunport",307.00,56.00,14.68,10.79,19.09,1.48,9.96,1.00,1.00,2530.00,510.00,621.00,676.00,25.00,698.00,
2003,6,"AA","American Airlines Inc.","ANC","Anchorage, AK: Ted Stevens Anchorage International",90.00,27.00,7.09,2.00,10.75,0.00,7.16,0.00,0.00,1390.00,271.00,83.00,581.00,0.00,455.00,
2003,6,"AA","American Airlines Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",752.00,186.00,33.99,27.82,104.76,1.90,17.53,5.00,0.00,8314.00,1367.00,1722.00,3817.00,139.00,1269.00,
2003,6,"AA","American Airlines Inc.","AUS","Austin, TX: Austin - Bergstrom International",842.00,174.00,60.24,20.54,47.78,4.69,40.75,9.00,1.00,8344.00,3040.00,1032.00,1835.00,115.00,2322.00,
2003,6,"AA","American Airlines Inc.","BDL","Hartford, CT: Bradley International",383.00,55.00,14.90,8.91,14.57,0.00,16.61,0.00,0.00,3137.00,815.00,574.00,555.00,0.00,1193.00,
2003,6,"AA","American Airlines Inc.","BHM","Birmingham, AL: Birmingham-Shuttlesworth International",89.00,12.00,2.79,2.19,2.20,1.00,3.82,0.00,0.00,673.00,94.00,90.00,50.00,35.00,404.00,
2003,6,"AA","American Airlines Inc.","BNA","Nashville, TN: Nashville International",445.00,82.00,25.44,11.98,17.90,0.03,26.65,2.00,0.00,4663.00,1217.00,913.00,800.00,1.00,1732.00,
2003,6,"AA","American Airlines Inc.","BOS","Boston, MA: Logan International",1266.00,225.00,69.43,23.66,83.93,2.25,45.73,7.00,0.00,12139.00,4201.00,1783.00,3067.00,45.00,3043.00,
2003,6,"AA","American Airlines Inc.","BUR","Burbank, CA: Bob Hope",119.00,27.00,7.49,4.65,7.81,0.00,7.04,1.00,0.00,1187.00,326.00,191.00,285.00,0.00,385.00,
2003,6,"AA","American Airlines Inc.","BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",593.00,101.00,17.56,20.49,38.26,0.00,24.69,1.00,1.00,5698.00,1058.00,1332.00,1708.00,0.00,1600.00,
